2022-11-20T00:00:00.000+01:00;23.35;28;2
2022-11-20T01:00:00.000+01:00;23.35;28;3
2022-11-20T02:00:00.000+01:00;23.35;28;3
2022-11-20T03:00:00.000+01:00;23.35;28;4
2022-11-20T04:00:00.000+01:00;23.35;28;4
2022-11-20T05:00:00.000+01:00;23.3;28;5
2022-11-20T06:00:00.000+01:00;23.3;28;5
2022-11-20T07:00:00.000+01:00;23.25;27;4
2022-11-20T08:00:00.000+01:00;23.25;27;3
2022-11-20T09:00:00.000+01:00;23.25;27;18
2022-11-20T10:00:00.000+01:00;23.25;27;20
2022-11-20T11:00:00.000+01:00;23.25;27;8
2022-11-20T12:00:00.000+01:00;23.3;27;7
2022-11-20T13:00:00.000+01:00;23.35;27;6
2022-11-20T14:00:00.000+01:00;23.45;27;5
2022-11-20T15:00:00.000+01:00;23.5;27;5
2022-11-20T16:00:00.000+01:00;23.6;28;4
2022-11-20T17:00:00.000+01:00;23.8;28;12
2022-11-20T18:00:00.000+01:00;23.95;28;16
2022-11-20T19:00:00.000+01:00;23.75;28;15
2022-11-20T20:00:00.000+01:00;23.6;28;10
2022-11-20T21:00:00.000+01:00;23.95;29;8
2022-11-20T22:00:00.000+01:00;24.4;31;6
2022-11-20T23:00:00.000+01:00;24.6;31;4
2022-11-21T00:00:00.000+01:00;24.7;32;4
2022-11-21T01:00:00.000+01:00;24.9;32;4
2022-11-21T02:00:00.000+01:00;24.55;32;5
2022-11-21T03:00:00.000+01:00;24.3;32;5
2022-11-21T04:00:00.000+01:00;24.25;32;6
2022-11-21T05:00:00.000+01:00;24.25;31;6
2022-11-21T06:00:00.000+01:00;23.85;31;5
2022-11-21T07:00:00.000+01:00;23.7;31;4
2022-11-21T08:00:00.000+01:00;23.6;31;19
2022-11-21T09:00:00.000+01:00;23.55;31;21
2022-11-21T10:00:00.000+01:00;23.5;31;9
2022-11-21T11:00:00.000+01:00;23.45;30;8
2022-11-21T12:00:00.000+01:00;23.45;30;7
2022-11-21T13:00:00.000+01:00;23.45;31;6
2022-11-21T14:00:00.000+01:00;23.45;32;6
2022-11-21T15:00:00.000+01:00;23.45;32;5
2022-11-21T16:00:00.000+01:00;23.5;31;13
2022-11-21T17:00:00.000+01:00;23.55;31;17
2022-11-21T18:00:00.000+01:00;23.5;31;16
2022-11-21T19:00:00.000+01:00;23.45;31;11
2022-11-21T20:00:00.000+01:00;23.55;31;9
2022-11-21T21:00:00.000+01:00;23.85;31;7
2022-11-21T22:00:00.000+01:00;23.85;33;5
2022-11-21T23:00:00.000+01:00;23.45;32;5
2022-11-22T00:00:00.000+01:00;23.45;31;5
2022-11-22T01:00:00.000+01:00;24;38;6
2022-11-22T02:00:00.000+01:00;24.45;38;6
2022-11-22T03:00:00.000+01:00;24;35;7
2022-11-22T04:00:00.000+01:00;23.65;35;7
2022-11-22T05:00:00.000+01:00;23.55;35;6
2022-11-22T06:00:00.000+01:00;23.55;34;5
2022-11-22T07:00:00.000+01:00;23.55;34;20
2022-11-22T08:00:00.000+01:00;23.5;33;22
2022-11-22T09:00:00.000+01:00;23.45;33;10
2022-11-22T10:00:00.000+01:00;23.45;33;9
2022-11-22T11:00:00.000+01:00;23.4;33;8
2022-11-22T12:00:00.000+01:00;23.35;33;7
2022-11-22T13:00:00.000+01:00;23.4;33;7
2022-11-22T14:00:00.000+01:00;23.45;34;6
2022-11-22T15:00:00.000+01:00;23.35;33;14
2022-11-22T16:00:00.000+01:00;23.55;33;18
2022-11-22T17:00:00.000+01:00;24;33;17
2022-11-22T18:00:00.000+01:00;23.95;33;12
2022-11-22T19:00:00.000+01:00;23.55;33;10
2022-11-22T20:00:00.000+01:00;23.6;33;8
2022-11-22T21:00:00.000+01:00;23.95;33;6
2022-11-22T22:00:00.000+01:00;24.35;33;6
2022-11-22T23:00:00.000+01:00;24.4;35;6
2022-11-23T00:00:00.000+01:00;24.25;35;7
2022-11-23T01:00:00.000+01:00;24.3;37;7
2022-11-23T02:00:00.000+01:00;24.95;39;8
2022-11-23T03:00:00.000+01:00;24.8;39;8
2022-11-23T04:00:00.000+01:00;24.55;39;7
2022-11-23T05:00:00.000+01:00;24.6;37;6
2022-11-23T06:00:00.000+01:00;24.2;37;21
2022-11-23T07:00:00.000+01:00;23.95;37;23
2022-11-23T08:00:00.000+01:00;23.9;36;11
2022-11-23T09:00:00.000+01:00;23.85;36;10
2022-11-23T10:00:00.000+01:00;23.85;35;9
2022-11-23T11:00:00.000+01:00;23.75;35;8
2022-11-23T12:00:00.000+01:00;23.75;34;8
2022-11-23T13:00:00.000+01:00;23.75;35;7
2022-11-23T14:00:00.000+01:00;23.75;34;15
2022-11-23T15:00:00.000+01:00;23.75;34;19
2022-11-23T16:00:00.000+01:00;23.85;33;18
2022-11-23T17:00:00.000+01:00;23.85;33;13
2022-11-23T18:00:00.000+01:00;23.85;33;11
2022-11-23T19:00:00.000+01:00;23.85;33;9
2022-11-23T20:00:00.000+01:00;23.7;32;7
2022-11-23T21:00:00.000+01:00;23.7;31;7
2022-11-23T22:00:00.000+01:00;23.7;32;7
2022-11-23T23:00:00.000+01:00;23.75;32;8
